Composer,Ekpo (2015),Leung (2021),Southern (2006),Institute for Composer Diversity,… and we were heard,Mexican Composer Initiative,Other
"Araque, Luis",,,,,,,Y
"Archer, Kimberly",,Y,,Y,,,
"Ballard, Louis",,,,,,,Y
"Barfield, Anthony",,Y,,Y,,,
"Barnett, Carol",,Y,,Y,,,
"Bernofsky, Lauren",,Y,,Y,,,
"Blackshaw, Jodie",,Y,,,,,
"Bremer, Carolyn",,Y,,Y,,,
"Budiansky, Mollie",,Y,,Y,,,
"Carlos Gomes, Antônio",,,,,,,Y
"Chambers, Carol Brittin",,Y,,Y,,,
Chang Su Koh,,Y,,,,,
"Chávez, Carlos",,,,Y,,,
"Chen, Qian",,Y,,,,,
"Codina, Genaro",,,,,,,Y
"Coleman, Valerie",Y,Y,,Y,,,
"Coles, Jay",,,,,,,Y
"Copley, Katahj",,Y,,Y,Y,,
"Cross, Travis J.",,Y,,,,,
"Cuong, Viet",,Y,,Y,,,
"Davis, Tyson",,,,,,,Y
"Day, Kevin",,Y,,,Y,,
"Diemer, Emma Lou",,,,Y,,,
"Donahue, Melanie",,,,,,,Y
"Dunton, Kelijah",,Y,,,Y,,
"Eastmond, David",,Y,,,,,
"Estes, Laura",,,,,,,Y
"Europe, James",,Y,,,,,
"Fenske, Katheryn",,,,,,,Y
"Fernandez, Oscar Lorenzo",,,,,,,Y
"Forte, Aldo Rafael",,,,,,,Y
"Fukuda, Yosuke",,,,Y,,,
"Galbraith, Nancy",,Y,,Y,,,
"Galvin, Lisa",,Y,,,,,
"Ginastera, Alberto",,,,,,,Y
"Giroux, Julie",,Y,,Y,,,
"Gomez, Antonio Carlos",,,,,,,Y
"Goto, Yo",,,,,,,Y
"Greene, Joni",,Y,,Y,,,
"Hailstork, Adolphus",Y,Y,,Y,,,
"Hanson, Shelley",,Y,,,,,
"Harden, Justin",,Y,,,,,
"Hernandez, A.",,,,,,,Y
"Higdon, Jennifer",,Y,,Y,,,
"Hilliard, Quincy",,Y,,,,,
"Hoefle, Heather",,Y,,,,,
"Hokoyama, Wataru",,,,,,,Y
"Hoshina, Hiroshi",,,,Y,,,
"Ito, Yasuhide",,,,,,,Y
"Jarvis, Rebecca",,,,,,,Y
"Jianfang, Yu",,,,,,,Y
"Johnson, Clair",,,,,,,Y
"Johnson, Robert",,,,,,,Y
"Jolley, Jennifer",,Y,,Y,,,
"Kaneda, Bin",,,,,,,Y
"Kataoka, Hiroaki",,,,,,,Y
"Katz, Judith",,,,,,,Y
"Kay, Ulysses",Y,Y,,Y,,,
"Keen, Marta",,,,,,,Y
"Kushida, Tetsonusuke",,,,,,,Y
"Lafferty, Laurie",,Y,,,,,
"Lara, Agustín",,,,,,,Y
"Larsen, Libby",,Y,,,,,
"Lecuona, Ernesto",,,,,,,Y
"Lopez, Victor",,,,,,,Y
"Lorenz, Ricardo",,Y,,Y,,,
"Lucas, Elena Roussanova",,Y,,,,,
"Márquez, Arturo",,,,,,,Y
"Mashima, T.",,,,,,,Y
"Mason, Quinn",,,,Y,Y,,
"Matsuura, Kinya",,,,,,,Y
"McGinty, Anne",,Y,,Y,,,
"McLin, Edward",,,,,,,Y
"McMichael, Catherine",,,,Y,,,
"McTee, Cindy",,Y,,Y,,,
"Meir, Shirley",,Y,,,,,
"Menard, Tanner",,,,,,,Y
"Milburn, Dwayne S.",,Y,,,,,
"Mittal, Aakash",,,,,,,Y
"Miura, H.",,,,,,,Y
"Montoya Jr., Daniel",,,,Y,,,
"Morales, Erik",,,,,,,Y
"Morita, Kazuhiro",,,,,,,Y
"Musella, Gabriel",,,,,,,Y
"Nagao, Jun",,,,,,,Y
"Nishimura, Cait",,Y,,Y,,,
"Nishimura, Yukiko",,Y,,Y,,,
"Owens, William",,Y,,,,,
"Padilla, José",,,,,,,Y
"Phillips-Rogers, Linda",,,,,,,Y
"Piunno, Nicole",,,,,Y,,
"Razo, Stephen M.",,,,,,,Y
"Revueltas, Silvestre",,Y,,Y,,,
"Rocherelle, Eugénie",,,,,,,Y
"Sakai, Itaru",,,,,,,Y
"Salfelder, Kathryn",,Y,,Y,,,
"Samuel, David",,,,,,,Y
"Saucedo, Richard L.",,,,,,,Y
"Scott, Steven O.",,,,,,,Y
"Seward, Nancy",,,,,,,Y
"Shabazz, Ayatey",,Y,,Y,Y,,
"Shapiro, Alex",,Y,,Y,Y,,
"Smith, Hale",Y,Y,,,,,
"Smith, Sarah A.",,,,,,,Y
"Spears, Gay Holmes",,,,,,,Y
"Still, William Grant",Y,Y,,,,,
"Suzuki, Eiji",,,,,,,Y
"Svanoe, Erika",,Y,,,,,
"Tailleferre, Germaine",,,,,,,Y
"Taruya, Masanori",,,,,,,Y
"Tatebe, Tomohiro",,,,,,,Y
"Thomas, Omar",,Y,,,,,
"Tohno, S.",,,,,,,Y
"Tower, Joan",,Y,,Y,,,
"Uallacháin, Pádraigín Ní",,,,,,,Y
"Villa-Lobos, Heitor",,,,,,,Y
"Vultaggio, Jeanne",,,,,,,Y
"Wada, Naoya",,,,Y,,,
"Walker, George",Y,Y,,,,,
"Watanabe, Urato",,,,,,,Y
"Webb, Amy",,,,,,,Y
"White, Darrington",,,,,,,Y
"Wilson, Chandler L.",,Y,,,,,
"Wojcik, Gabrielle",,,,,,,Y
"Woodrow, Haley",,Y,,Y,Y,,
"Yagisawa, Satoshi",,Y,,,,,
"Yamada, Kōsaku",,,,,,,Y
"Yasuhide, Ito",,Y,,Y,,,
"Yeo, Benjamin",,,,Y,,,
"Yi, Chen",,Y,,Y,,,
"Zaimont, Judith Lang",,Y,,,,,
"Zare, Roger",,,,,Y,,
Zhou Tian,,,,Y,,,
